K15n15044,"[1, 1, 2, 2, 6, 5]",['K15n15044']
K15n15953,"[1, 1, 2, 2, 6, 6]",['K15n15953']
K15n117989,"[1, 1, 1, 3, 3, 9]",['K15n117989']
K15n118484,"[1, 1, 1, 3, 3, 11]",['K15n118484']
K13a3231,"[1, 2, 5, 3, 13, 6]",['K13a3231']
K13a3273,"[1, 2, 5, 3, 13, 5]",['K13a3273']
K15n109907,"[1, 2, 4, 2, 14, 13]",['K15n109907']
K15n82338,"[1, 2, 4, 2, 14, 8]",['K15n82338']
K15n82725,"[1, 2, 4, 2, 14, 12]",['K15n82725']
K14a2080,"[1, 1, 2, 3, 3, 8]",['K14a2080']
K14a2137,"[1, 1, 2, 3, 3, 7]",['K14a2137']
K15a3124,"[1, 2, 5, 3, 17, 5]",['K15a3124']
K15a3333,"[1, 2, 5, 3, 17, 10]",['K15a3333']
K15a33426,"[1, 2, 2, 2, 6, 9]",['K15a33426']
K15a38926,"[1, 2, 2, 2, 6, 10]",['K15a38926']
K15a3934,"[1, 2, 4, 3, 11, 8]",['K15a3934']
K15a4006,"[1, 2, 4, 3, 11, 3]",['K15a4006']
K14a1002,"[1, 1, 2, 3, 7, 12]","['K14a1002', 'K14a1146']"
K15n125626,"[1, 1, 1, 3, 5, 6]",['K15n125626']
K15n125756,"[1, 1, 1, 3, 5, 4]",['K15n125756']
K15a7967,"[1, 1, 2, 2, 6, 4]",['K15a7967']
K15a8322,"[1, 1, 2, 2, 6, 8]",['K15a8322']
K14n1660,"[1, 1, 2, 4, 20, 15]",['K14n1660']
K14n2335,"[1, 1, 2, 4, 20, 14]",['K14n2335']
K15n10233,"[1, 2, 4, 3, 15, 14]",['K15n10233']
K15n8237,"[1, 2, 4, 3, 15, 10]",['K15n8237']
K15n106762,"[1, 2, 5, 4, 30, 30]",['K15n106762']
K15n53759,"[1, 2, 5, 4, 30, 35]",['K15n53759']
K15n50802,"[1, 1, 1, 3, 3, 8]",['K15n50802']
K15n50808,"[1, 1, 1, 3, 3, 10]",['K15n50808']
K15n24953,"[1, 1, 1, 1, 3, 4]",['K15n24953']
K15n25852,"[1, 1, 1, 1, 3, 5]",['K15n25852']
K15a16452,"[1, 2, 5, 3, 59, 89]",['K15a16452']
K15a16542,"[1, 2, 5, 3, 59, 92]",['K15a16542']
K15a12595,"[1, 1, 1, 3, 3, 21]",['K15a12595']
K15a12617,"[1, 1, 1, 3, 3, 20]",['K15a12617']
K15a48204,"[1, 1, 1, 3, 3, 24]",['K15a48204']
K15n33509,"[1, 2, 2, 6, 16, 10]",['K15n33509']
K15n33836,"[1, 2, 2, 6, 16, 9]",['K15n33836']
K15a8524,"[1, 1, 1, 1, 1, 7]",['K15a8524']
K15a8528,"[1, 1, 1, 1, 1, 8]",['K15a8528']
K15n18666,"[1, 1, 1, 1, 5, 4]","['K15n18666', 'K15n20800']"
K15n122526,"[1, 2, 4, 2, 9, 11]",['K15n122526']
K15n122558,"[1, 2, 4, 2, 9, 9]",['K15n122558']
K14a13279,"[1, 1, 1, 5, 13, 9]",['K14a13279']
K14a13508,"[1, 1, 1, 5, 13, 5]",['K14a13508']
K15n123100,"[1, 2, 5, 3, 20, 11]",['K15n123100']
K15n123158,"[1, 2, 5, 3, 20, 15]",['K15n123158']
K14a853,"[1, 1, 1, 2, 4, 4]","['K14a853', 'K14a900']"
K15n2347,"[1, 1, 2, 5, 9, 13]",['K15n2347']
K15n3050,"[1, 1, 2, 5, 9, 11]",['K15n3050']
K15a6033,"[1, 1, 1, 1, 5, 10]",['K15a6033']
K15a6129,"[1, 1, 1, 1, 5, 6]",['K15a6129']
K15a6323,"[1, 2, 5, 6, 16, 11]",['K15a6323']
K15a6504,"[1, 2, 5, 6, 16, 9]",['K15a6504']
K15n11951,"[1, 2, 4, 2, 16, 5]",['K15n11951']
K15n13094,"[1, 2, 4, 2, 16, 3]",['K15n13094']
K15n147875,"[1, 1, 1, 10, 4, 12]",['K15n147875']
K15n147956,"[1, 1, 1, 10, 4, 17]",['K15n147956']
K15n23738,"[1, 1, 1, 3, 5, 7]",['K15n23738']
K15n24818,"[1, 1, 1, 3, 5, 8]",['K15n24818']
K15n10758,"[1, 1, 2, 8, 8, 11]",['K15n10758']
K15n10790,"[1, 1, 2, 8, 8, 10]",['K15n10790']
K15n6785,"[1, 1, 2, 8, 8, 14]",['K15n6785']
K15a6620,"[1, 1, 1, 3, 5, 5]",['K15a6620']
K15a7009,"[1, 1, 1, 3, 5, 6]",['K15a7009']
K15a26242,"[1, 1, 6, 4, 16, 7]",['K15a26242']
