name,crossings,alexander_polynomial,matched_name
17nh_0005930,17,"{0: 1, 1: -7, 2: 13, 3: -7, 4: 1}",8_12
17nh_0005940,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0005941,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0005955,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0006024,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0006038,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0006083,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0006091,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0006126,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0006168,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0006174,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0006209,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0006215,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0006304,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0006307,17,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
17nh_0006344,17,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
17nh_0006375,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0006376,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
